TEAMNAMES,SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,hash
TEAM TAPE,222,nene-caroline,nene caroline,A housewife that loves taking care of her family.,Female,hair:brown;eyes:white;teeth:none;clothing:ankara;accessories:none;expression:calm;strength:loving;weakness:novice,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,61986f68b9bdb84222a86e9575329958a215a2b8f7124dbf7eb403421bf8a080
TEAM TAPE,222,nene-caroline,nene caroline,A housewife that loves taking care of her family.,Female,hair:brown;eyes:white;teeth:none;clothing:ankara;accessories:none;expression:calm;strength:loving;weakness:novice,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,61986f68b9bdb84222a86e9575329958a215a2b8f7124dbf7eb403421bf8a080
TEAM TAPE,223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties.,Female,hair:black;eyes:white;teeth:none;clothing:aso oke;accessories:none;expression:proud;strength:energetic;weakness:none,77237cce-bae0-4d60-adad-27055f0eed39,e9290f60615f2e6633c7a2a5cc597531a52e1ce5d344c502cf89e3ca8233d5e6
TEAM TAPE,223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties.,Female,hair:black;eyes:white;teeth:none;clothing:aso oke;accessories:none;expression:proud;strength:energetic;weakness:none,77237cce-bae0-4d60-adad-27055f0eed39,e9290f60615f2e6633c7a2a5cc597531a52e1ce5d344c502cf89e3ca8233d5e6
TEAM TAPE,224,melanin-janet,melanin janet,A young lady with a soft personality.,Female,hair:brownish pink;eyes:white;teeth:none;clothing:english-ankara;accessories:none;expression:none;strength:calm;weakness:none,a5a2854e-a850-4b15-b3c3-176a79b2d34b,072446ac4ff5d0176bb5a8edc480fc40bf313053729c2d14e9eb211d8299d01a
TEAM TAPE,224,melanin-janet,melanin janet,A young lady with a soft personality.,Female,hair:brownish pink;eyes:white;teeth:none;clothing:english-ankara;accessories:none;expression:none;strength:calm;weakness:none,a5a2854e-a850-4b15-b3c3-176a79b2d34b,072446ac4ff5d0176bb5a8edc480fc40bf313053729c2d14e9eb211d8299d01a
TEAM TAPE,225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:leopard skin;accessories:none;expression:wild;strength:none;weakness:none,7ec03993-f500-4a41-aa3c-a73df7a0fbed,454125c2b49671df8b85b05c7521e9b6d0225b15bdbc6857c8a2fd95c7f30d01
TEAM TAPE,225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:leopard skin;accessories:none;expression:wild;strength:none;weakness:none,7ec03993-f500-4a41-aa3c-a73df7a0fbed,454125c2b49671df8b85b05c7521e9b6d0225b15bdbc6857c8a2fd95c7f30d01
TEAM TAPE,226,novice-joane,novice joane,A princess worried about finding true love.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:worried;strength:diligent;weakness:easily initimidated,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,eb23084a2ea8f97efd43de611fca3bf4eda76fcc212cb9f259b4856031054b33
TEAM TAPE,226,novice-joane,novice joane,A princess worried about finding true love.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:worried;strength:diligent;weakness:easily initimidated,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,eb23084a2ea8f97efd43de611fca3bf4eda76fcc212cb9f259b4856031054b33
TEAM TAPE,227,goofy-simbi,goofy simbi,An eccentric teenager that loves music.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:indifferent;strength:none;weakness:unconventional behaviour,df7dc588-f99c-4592-84f6-08b40047d9d1,3af64addf7ccf751a8f270824d781aba0b368d9c57c63e54f2b8edb2fa2cc5f1
TEAM TAPE,227,goofy-simbi,goofy simbi,An eccentric teenager that loves music.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:indifferent;strength:none;weakness:unconventional behaviour,df7dc588-f99c-4592-84f6-08b40047d9d1,3af64addf7ccf751a8f270824d781aba0b368d9c57c63e54f2b8edb2fa2cc5f1
TEAM TAPE,228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert.,Female,hair:purple;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:depressed;strength:none;weakness:weak,d1e8b38b-994b-487c-890b-9034d3ab7dcb,5ff62ed6c1b03f776e3745e1455eff8f06bdda4d19f45b0af3343f0b55217eaa
TEAM TAPE,228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert.,Female,hair:purple;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:depressed;strength:none;weakness:weak,d1e8b38b-994b-487c-890b-9034d3ab7dcb,5ff62ed6c1b03f776e3745e1455eff8f06bdda4d19f45b0af3343f0b55217eaa
TEAM TAPE,229,aunty-toyin,aunty toyin,An oversabi family member.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:carefree;strength:audacious;weakness:none,1326ef4b-224a-497e-9452-e63a4486e387,fe4dea87cdb792e627aede2fd5e4271098ca397654c0ea0d5f4bf5062b215576
TEAM TAPE,229,aunty-toyin,aunty toyin,An oversabi family member.,Female,hair:pumpkin;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:carefree;strength:audacious;weakness:none,1326ef4b-224a-497e-9452-e63a4486e387,fe4dea87cdb792e627aede2fd5e4271098ca397654c0ea0d5f4bf5062b215576
TEAM TAPE,230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage.,Female,hair:dark brown;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:self-sufficient;strength:diligent;weakness:uncritical,7c771f82-a512-403c-91b9-6736318a8796,f0a3467285ecb4a9b66090c59828702e991d60f8a2ab4489cd49ebd17bd8a855
TEAM TAPE,230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage.,Female,hair:dark brown;eyes:blue;teeth:none;clothing:kente;accessories:none;expression:self-sufficient;strength:diligent;weakness:uncritical,7c771f82-a512-403c-91b9-6736318a8796,f0a3467285ecb4a9b66090c59828702e991d60f8a2ab4489cd49ebd17bd8a855
TEAM TAPE,231,chimamanda-enugu,chimamanda enugu,A young lady born during the war.,Female,hair:brown;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:none;strength:none;weakness:none,eaad5c98-3f85-4480-9c4e-b73340cfba4f,7766ab0d991a396521887467abf6379f18a54f55080e6954e93f62afa0518396
TEAM TAPE,231,chimamanda-enugu,chimamanda enugu,A young lady born during the war.,Female,hair:brown;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:none;strength:none;weakness:none,eaad5c98-3f85-4480-9c4e-b73340cfba4f,7766ab0d991a396521887467abf6379f18a54f55080e6954e93f62afa0518396
TEAM TAPE,232,kente-solape,kente solape,A respectful and diligent princess.,Female,hair:black;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:blanch;strength:bold;weakness:none,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,5751a75676926213baee3154cee5f3a8840b39df9e87c671feb6820565710fdb
TEAM TAPE,232,kente-solape,kente solape,A respectful and diligent princess.,Female,hair:black;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:blanch;strength:bold;weakness:none,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,5751a75676926213baee3154cee5f3a8840b39df9e87c671feb6820565710fdb
TEAM TAPE,233,vamp-karishika,vamp karishika,Queen of the royal Ghana youths,Female,hair:brown;eyes:black;teeth:white;clothing:gele;accessories:none;expression:shocked;strength:tough;weakness:bossy,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,2dd8c5fca110748a46cb0a70b8833c1a921b1ed676fd58319ca0723e90323809
TEAM TAPE,233,vamp-karishika,vamp karishika,Queen of the royal Ghana youths,Female,hair:brown;eyes:black;teeth:white;clothing:gele;accessories:none;expression:shocked;strength:tough;weakness:bossy,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,2dd8c5fca110748a46cb0a70b8833c1a921b1ed676fd58319ca0723e90323809
TEAM TAPE,234,genz-monique,genz monique,A sassy lady with her own vibe.,Female,hair:pinkish-brown;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:despiteful;strength:none;weakness:none,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,8a107de08305bb3c1cebc1bda45402a0be11f6029bb646c25390e95d8114aeb2
TEAM TAPE,234,genz-monique,genz monique,A sassy lady with her own vibe.,Female,hair:pinkish-brown;eyes:black;teeth:none;clothing:ankara;accessories:none;expression:despiteful;strength:none;weakness:none,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,8a107de08305bb3c1cebc1bda45402a0be11f6029bb646c25390e95d8114aeb2
TEAM TAPE,235,femi-boltz,femi boltz,A driver hustling his way through life.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,b603e378f66434bfd0e9e69a63688b5af026572a6405e64cd7eafc7b09ee05d2
TEAM TAPE,235,femi-boltz,femi boltz,A driver hustling his way through life.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,b603e378f66434bfd0e9e69a63688b5af026572a6405e64cd7eafc7b09ee05d2
TEAM TAPE,236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,403f28a0-6aa7-4f80-997f-b0982c169baa,c0d7737e684010237ab6445da5afec316e3a8622208594640d0d7ced1ad6987c
TEAM TAPE,236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,403f28a0-6aa7-4f80-997f-b0982c169baa,c0d7737e684010237ab6445da5afec316e3a8622208594640d0d7ced1ad6987c
TEAM TAPE,237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,9d945d79-dd2d-4755-b9c7-bff837be8557,8bc7d3719a717ddc49642b713a4a4bbeeb0688543358b559a377970ff3de2745
TEAM TAPE,237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,9d945d79-dd2d-4755-b9c7-bff837be8557,8bc7d3719a717ddc49642b713a4a4bbeeb0688543358b559a377970ff3de2745
TEAM TAPE,238,nandi-zulu,nandi zulu,A fierce African Queen.,Female,hair:pumpkin;eyes:brown;teeth:none;clothing:animal skin;accessories:none;expression:energetic;strength:smart;weakness:none,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,ca9dc3e4b6fa3d3dc1bf0ace948dd7629b018707784155f39f8d30210daade5c
TEAM TAPE,238,nandi-zulu,nandi zulu,A fierce African Queen.,Female,hair:pumpkin;eyes:brown;teeth:none;clothing:animal skin;accessories:none;expression:energetic;strength:smart;weakness:none,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,ca9dc3e4b6fa3d3dc1bf0ace948dd7629b018707784155f39f8d30210daade5c
TEAM TAPE,239,ade-demon,ade demon,A Lekki playboy that makes money from crypto.,Male,hair:none;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,0be2d50b-3e57-4e39-a199-b211d2be860c,b8e6da43db7e62b79b04f656347b5a77fb2bcdcee41c02ca3b0a899eae55f0e7
TEAM TAPE,239,ade-demon,ade demon,A Lekki playboy that makes money from crypto.,Male,hair:none;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,0be2d50b-3e57-4e39-a199-b211d2be860c,b8e6da43db7e62b79b04f656347b5a77fb2bcdcee41c02ca3b0a899eae55f0e7
TEAM TAPE,240,karim-rapper,karim rapper,A young and proud Lagos rapper.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,3ca38d270766685b0b8529a13defdc7404a3c5b1ad933854f32a9961f7d09693
TEAM TAPE,240,karim-rapper,karim rapper,A young and proud Lagos rapper.,Male,hair:black;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:proud;strength:smart;weakness:none,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,3ca38d270766685b0b8529a13defdc7404a3c5b1ad933854f32a9961f7d09693
TEAM AXLE,241,bobo-alinco,bobo alinco,Alinco always in the mood for play.,Male,hair:orange;eyes:black;teeth:rabbit front teeth;clothing:white polo and blue pinafore;accessories:none;expression:unamused;strength:good listener;weakness:mostly unserious and plays roughly a lot,17e90692-26ec-4ac5-8613-d87d00278d37,60579e1db28caaf4025020c29a9b0c889c5747f23be4a18b2adc981a699338d7
TEAM AXLE,241,bobo-alinco,bobo alinco,Alinco always in the mood for play.,Male,hair:orange;eyes:black;teeth:rabbit front teeth;clothing:white polo and blue pinafore;accessories:none;expression:unamused;strength:good listener;weakness:mostly unserious and plays roughly a lot,17e90692-26ec-4ac5-8613-d87d00278d37,60579e1db28caaf4025020c29a9b0c889c5747f23be4a18b2adc981a699338d7
TEAM AXLE,242,chi-lastborn,chi lastborn,Baby of the house; the lastborn of an average Nigerian family.,Female,hair:black;eyes:blue bold eyes;teeth:none;clothing:animal print gown;accessories:none;expression:teary;strength:truthful;weakness:cannot keep a secret,187b9001-81a7-421b-aeea-ba64f930f6c3,d3567cea7e049f7e760bd24e2ca01301f06bc190df3f0a375f18cc612a042ab1
TEAM AXLE,242,chi-lastborn,chi lastborn,Baby of the house; the lastborn of an average Nigerian family.,Female,hair:black;eyes:blue bold eyes;teeth:none;clothing:animal print gown;accessories:none;expression:teary;strength:truthful;weakness:cannot keep a secret,187b9001-81a7-421b-aeea-ba64f930f6c3,d3567cea7e049f7e760bd24e2ca01301f06bc190df3f0a375f18cc612a042ab1
TEAM AXLE,243,uju-robo-robo,uju robo robo,An aso-oke business woman at Balogun market.,Female,hair:black;eyes:black and grey;teeth:missing two front tooth;clothing:grey and mixed color patterned ankara;accessories:ankara beret;expression:astonished;strength:business acumen;weakness:hot tempered,8b98de66-9a2b-4229-b0d9-297b2906f548,c0ab515a523e56b6f3d223d5eb8673c5ec5b4d7dad8bd699aefbc9a6b2c6b230
TEAM AXLE,243,uju-robo-robo,uju robo robo,An aso-oke business woman at Balogun market.,Female,hair:black;eyes:black and grey;teeth:missing two front tooth;clothing:grey and mixed color patterned ankara;accessories:ankara beret;expression:astonished;strength:business acumen;weakness:hot tempered,8b98de66-9a2b-4229-b0d9-297b2906f548,c0ab515a523e56b6f3d223d5eb8673c5ec5b4d7dad8bd699aefbc9a6b2c6b230
TEAM AXLE,244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK.,Female,hair:brown;eyes:brown;teeth:none;clothing:blue ankara;accessories:tobacco pipe;expression:serious;strength:wealthy;weakness:condescending,5646daa8-2619-46a5-ac93-9a49f862729a,3b17856351292644c40257d9e72ed6f72bb5c3bcf84e1f700cfb0151395c8806
TEAM AXLE,244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK.,Female,hair:brown;eyes:brown;teeth:none;clothing:blue ankara;accessories:tobacco pipe;expression:serious;strength:wealthy;weakness:condescending,5646daa8-2619-46a5-ac93-9a49f862729a,3b17856351292644c40257d9e72ed6f72bb5c3bcf84e1f700cfb0151395c8806
TEAM AXLE,245,dumebi-jjc,dumebi jjc,Newly admitted to the university; looking for freedom from her parents.,Female,hair:orange hair in two side buns;eyes:black;teeth:none;clothing:ankara blouse;accessories:none;expression:innocent;strength:curiousity;weakness:gullible,ed0148f9-491b-44e5-9b3b-07d3e8a48efe,1d7eb6c90919b23b2d70b7fe43db733a38783d336d52627cad9c247a7f965dd8
TEAM AXLE,245,dumebi-jjc,dumebi jjc,Newly admitted to the university; looking for freedom from her parents.,Female,hair:orange hair in two side buns;eyes:black;teeth:none;clothing:ankara blouse;accessories:none;expression:innocent;strength:curiousity;weakness:gullible,ed0148f9-491b-44e5-9b3b-07d3e8a48efe,1d7eb6c90919b23b2d70b7fe43db733a38783d336d52627cad9c247a7f965dd8
TEAM AXLE,246,ukwu-nengi,ukwu nengi,Well endowed woman who will always make heads turn.,Female,"""hair:dark brown;eyes:black and grey;teeth:none;clothing:orange", blue,4348e9f1266078a041c68ad300e649555364f4394369df75901d0672735e4b46
TEAM AXLE,246,ukwu-nengi,ukwu nengi,Well endowed woman who will always make heads turn.,Female,"""hair:dark brown;eyes:black and grey;teeth:none;clothing:orange", blue,4348e9f1266078a041c68ad300e649555364f4394369df75901d0672735e4b46
TEAM AXLE,247,nonso-malay,nonso malay,Nonso Malay is an enterprising man who made his fortune after he travelled abroad.,Male,hair:orange;eyes:squint;teeth:none and moustache;clothing:agbada;accessories:none;expression:mischevious smile;strength:action person;weakness:doesn't trust anyone,573f741e-7dfd-4145-a532-2cbf0194c5bd,c3153fe90accd43a92975384b6110d95d5a1a21dd9c39f30179df94cc4b549ff
TEAM AXLE,247,nonso-malay,nonso malay,Nonso Malay is an enterprising man who made his fortune after he travelled abroad.,Male,hair:orange;eyes:squint;teeth:none and moustache;clothing:agbada;accessories:none;expression:mischevious smile;strength:action person;weakness:doesn't trust anyone,573f741e-7dfd-4145-a532-2cbf0194c5bd,c3153fe90accd43a92975384b6110d95d5a1a21dd9c39f30179df94cc4b549ff
TEAM AXLE,248,saro-texaco,saro texaco,An oil tycoon who dominates.,Male,hair:none;eyes:black;teeth:white;clothing:agbada;accessories:cap;expression:smiling;strength:negotiations;weakness:stingy,ba8a51d0-24d6-43fe-bf56-12eb50f6fc4a,e9c2c0ab0fd3cbf45955ed511f0cf943daa9184be0a8022c6f4bf32f435b12d2
TEAM AXLE,248,saro-texaco,saro texaco,An oil tycoon who dominates.,Male,hair:none;eyes:black;teeth:white;clothing:agbada;accessories:cap;expression:smiling;strength:negotiations;weakness:stingy,ba8a51d0-24d6-43fe-bf56-12eb50f6fc4a,e9c2c0ab0fd3cbf45955ed511f0cf943daa9184be0a8022c6f4bf32f435b12d2
TEAM AXLE,249,akpos-agbero,akpos agbero,A Warri boy always in the mood for violence.,Male,hair:none;eyes:black;teeth:rabbit front teeth;clothing:brown polo and blue pinafore;accessories:cap;expression:angry;strength:physically fit;weakness:short-tempered,70875603-9e90-467f-9d44-af15f71b70e9,981191fa37c7b6e380440b040b88d126a1317c65ec435323d7c133dfb64f1fd7
TEAM AXLE,249,akpos-agbero,akpos agbero,A Warri boy always in the mood for violence.,Male,hair:none;eyes:black;teeth:rabbit front teeth;clothing:brown polo and blue pinafore;accessories:cap;expression:angry;strength:physically fit;weakness:short-tempered,70875603-9e90-467f-9d44-af15f71b70e9,981191fa37c7b6e380440b040b88d126a1317c65ec435323d7c133dfb64f1fd7
TEAM AXLE,250,kasali-danfo,kasali danfo,A danfo driver popular for his positive outlook of life.,Male,hair:none;eyes:black;teeth:missing two front teeth;clothing:green polo and blue pinafore;accessories:chewing stick and bandana;expression:hopeful;strength:optimistic;weakness:over promises a lot,afaa2a41-1bc0-47bf-acef-d9638d6c5369,cdd0138d26787dd700cb3232be60b5e0dd5cd5f0a7119b510fe8f0a463247680
TEAM AXLE,250,kasali-danfo,kasali danfo,A danfo driver popular for his positive outlook of life.,Male,hair:none;eyes:black;teeth:missing two front teeth;clothing:green polo and blue pinafore;accessories:chewing stick and bandana;expression:hopeful;strength:optimistic;weakness:over promises a lot,afaa2a41-1bc0-47bf-acef-d9638d6c5369,cdd0138d26787dd700cb3232be60b5e0dd5cd5f0a7119b510fe8f0a463247680
TEAM AXLE,251,osaz-benz,osaz benz,Osaz benz is an Edo born car dealer who buys only Mercedes Benz cars for his clients.,Male,hair:red;eyes:black;teeth:gold tooth;clothing:white polo and blue pinafore;accessories:none;expression:unamused;strength:technology savy;weakness:reckless,a11e8485-d8dd-4970-b0d3-cde7ab9f53e3,64c16013a7baac8c9126944e5972a4669cae7b79c5965d5a42903c9f3f662d83
TEAM AXLE,251,osaz-benz,osaz benz,Osaz benz is an Edo born car dealer who buys only Mercedes Benz cars for his clients.,Male,hair:red;eyes:black;teeth:gold tooth;clothing:white polo and blue pinafore;accessories:none;expression:unamused;strength:technology savy;weakness:reckless,a11e8485-d8dd-4970-b0d3-cde7ab9f53e3,64c16013a7baac8c9126944e5972a4669cae7b79c5965d5a42903c9f3f662d83
TEAM AXLE,252,kareem-kasanova,kareem kasanova,Abuja big boy; he has sweet mouth for wooing ladies.,Male,hair:none;eyes:black;teeth:none;clothing:agbada;accessories:bubble gum and cap;expression:charming;strength:chivalry;weakness:unfaithful,9b765dd9-5d2f-4050-9583-4200e4b2d5d4,bc22d333a2d994060dc5347014389439210670a6be37ad0d9b4b6df54c7f5cd1
TEAM AXLE,252,kareem-kasanova,kareem kasanova,Abuja big boy; he has sweet mouth for wooing ladies.,Male,hair:none;eyes:black;teeth:none;clothing:agbada;accessories:bubble gum and cap;expression:charming;strength:chivalry;weakness:unfaithful,9b765dd9-5d2f-4050-9583-4200e4b2d5d4,bc22d333a2d994060dc5347014389439210670a6be37ad0d9b4b6df54c7f5cd1
TEAM AXLE,253,mayor-of-uyo,mayor of uyo,Essien is a top Lagos businessman who hails from Uyo.,Male,hair:none;eyes:cyan and left side eyed;teeth:none;clothing:chieftancy;accessories:candy bar;expression:joyful;strength:wealthy;weakness:loves women a lot,6ae4ca87-8d71-48e5-8098-fc5241a0ba36,6f4be90e2fa4d0a7636859b6d7d4225c26fd1dc71bb59916a5326f74c46c0339
TEAM AXLE,253,mayor-of-uyo,mayor of uyo,Essien is a top Lagos businessman who hails from Uyo.,Male,hair:none;eyes:cyan and left side eyed;teeth:none;clothing:chieftancy;accessories:candy bar;expression:joyful;strength:wealthy;weakness:loves women a lot,6ae4ca87-8d71-48e5-8098-fc5241a0ba36,6f4be90e2fa4d0a7636859b6d7d4225c26fd1dc71bb59916a5326f74c46c0339
TEAM AXLE,254,chinedu-china,chinedu china,An Nnewi blooded spareparts importer and exporter with goods from china.,Male,hair:none;eyes:cyan;teeth:none;clothing:wrapper;accessories:none;expression:smirking;strength:business acumen;weakness:brags a lot,76a09cf1-b5fd-4bc0-bf61-0c0b9024b264,9aa5733b5467684077c825c35f57ac58dcc7eb092904db924fe4c0cd620c82cb
TEAM AXLE,254,chinedu-china,chinedu china,An Nnewi blooded spareparts importer and exporter with goods from china.,Male,hair:none;eyes:cyan;teeth:none;clothing:wrapper;accessories:none;expression:smirking;strength:business acumen;weakness:brags a lot,76a09cf1-b5fd-4bc0-bf61-0c0b9024b264,9aa5733b5467684077c825c35f57ac58dcc7eb092904db924fe4c0cd620c82cb
TEAM AXLE,255,papa-ekene,papa ekene,The oldest man of the Akwauzu clan.,Male,hair:none;eyes:black;teeth:missing two teeth;clothing:ankara native top;accessories:chewing stick;expression:lighthearted;strength:wisdom;weakness:talks too much,8b8d34d0-3d41-4170-aa3f-755beae83b00,7671e7ab381000db21bad25aa722a3e2733656787f2e9f30b9029e42cba55326
TEAM AXLE,255,papa-ekene,papa ekene,The oldest man of the Akwauzu clan.,Male,hair:none;eyes:black;teeth:missing two teeth;clothing:ankara native top;accessories:chewing stick;expression:lighthearted;strength:wisdom;weakness:talks too much,8b8d34d0-3d41-4170-aa3f-755beae83b00,7671e7ab381000db21bad25aa722a3e2733656787f2e9f30b9029e42cba55326
TEAM AXLE,256,ogbeni-rauf,ogbeni rauf,Minister of enjoyment for Freedom state.,Male,hair:none;eyes:squint;teeth:gold tooth;clothing:agbada;accessories:cap;expression:grinning;strength:persuasive speaker;weakness:manipulative,048f1180-33be-4a58-881e-22e7f0f96455,b549ba2c3e54882adb5b3938a8569f615e471cdea3b99f5fc7b2aeed6dc17ca7
TEAM AXLE,256,ogbeni-rauf,ogbeni rauf,Minister of enjoyment for Freedom state.,Male,hair:none;eyes:squint;teeth:gold tooth;clothing:agbada;accessories:cap;expression:grinning;strength:persuasive speaker;weakness:manipulative,048f1180-33be-4a58-881e-22e7f0f96455,b549ba2c3e54882adb5b3938a8569f615e471cdea3b99f5fc7b2aeed6dc17ca7
TEAM AXLE,257,koffi-banku,koffi banku,He loves food so much and doesnt joke with his meal time.,Male,hair:orange afro hairstyle;eyes:azure and bold;teeth:missing two front teeth;clothing:wearing ankara print with white inner;accessories:none;expression:anticipating;strength:cooks well;weakness:always hungry for food,9699105f-607a-4c0b-81c0-373c6d35f4fe,f2129854a04de84ed553ef591563a9b4e9c8df59293c537e74dda217a3e02f35
TEAM AXLE,257,koffi-banku,koffi banku,He loves food so much and doesnt joke with his meal time.,Male,hair:orange afro hairstyle;eyes:azure and bold;teeth:missing two front teeth;clothing:wearing ankara print with white inner;accessories:none;expression:anticipating;strength:cooks well;weakness:always hungry for food,9699105f-607a-4c0b-81c0-373c6d35f4fe,f2129854a04de84ed553ef591563a9b4e9c8df59293c537e74dda217a3e02f35
TEAM AXLE,258,alhaji-bello,alhaji bello,Rich Hausa business mongul controlling half of cow production in Nigeria.,Male,hair:none;eyes:squinting;teeth:missing a front tooth;clothing:ankara agbada;accessories:cap;expression:smiling;strength:wealthy;weakness:dishonest,1f0839dd-b4c9-4adb-9328-a2b4ceff999b,5208bc66f2d94a892fdb07447ac7156b2e2ce0685c27dec2af9b919f48339d8d
TEAM AXLE,258,alhaji-bello,alhaji bello,Rich Hausa business mongul controlling half of cow production in Nigeria.,Male,hair:none;eyes:squinting;teeth:missing a front tooth;clothing:ankara agbada;accessories:cap;expression:smiling;strength:wealthy;weakness:dishonest,1f0839dd-b4c9-4adb-9328-a2b4ceff999b,5208bc66f2d94a892fdb07447ac7156b2e2ce0685c27dec2af9b919f48339d8d
TEAM AXLE,259,toju-mafejopami,toju mafejopami,Toju is a street hustler does not like stress.,Male,hair:none;eyes:closed;teeth:white with one gold tooth;clothing:yellow shirt with a blue jean pinafore;accessories:cap;expression:sleeping;strength:street smart;weakness:nonchalance,3c733806-3fd3-4c49-afd1-97f6a0802485,2209216ece37052b01b6e41cecc62e4cb58e57aa6b70a54db7de86f72f8d8dfa
TEAM AXLE,259,toju-mafejopami,toju mafejopami,Toju is a street hustler does not like stress.,Male,hair:none;eyes:closed;teeth:white with one gold tooth;clothing:yellow shirt with a blue jean pinafore;accessories:cap;expression:sleeping;strength:street smart;weakness:nonchalance,3c733806-3fd3-4c49-afd1-97f6a0802485,2209216ece37052b01b6e41cecc62e4cb58e57aa6b70a54db7de86f72f8d8dfa
TEAM AXLE,260,femi-maserati,femi maserati,Rich kid who resides in lekki; known by everybody because he drives a maserati.,Male,hair:none;eyes:black and side eyed;teeth:white;clothing:green polo and blue pinafore;accessories:bandana;expression:confident;strength:relatable and easily makes friends;weakness:shouts a lot,dc5bb7ae-6280-4038-a0cc-6f7ba98bc5cf,c557676d6f6e84a0bd32baa74e2c8b12c6f2f3251bcb27fb3abdef08fd78dce0
TEAM AXLE,260,femi-maserati,femi maserati,Rich kid who resides in lekki; known by everybody because he drives a maserati.,Male,hair:none;eyes:black and side eyed;teeth:white;clothing:green polo and blue pinafore;accessories:bandana;expression:confident;strength:relatable and easily makes friends;weakness:shouts a lot,dc5bb7ae-6280-4038-a0cc-6f7ba98bc5cf,c557676d6f6e84a0bd32baa74e2c8b12c6f2f3251bcb27fb3abdef08fd78dce0
